course_id,title,platform,subscribers
592,Analytics for Decision Making,e,31031
593,Principios de Análisis e Instrumentos Financieros,e,0
594,Energy Principles and Renewable Energy,e,19520
595,DNA: Biology’s Genetic Code,e,35162
596,Music For Wellness,e,19728
597,Mining Massive Datasets,e,5311
598,Introduction to Electrical and Electronic Engineering - 電気電子工学入門 -,e,25041
599,A travel by Spanish America: Spanish for beginners,e,0
600,Introducción a la Inteligencia Artificial,e,11184
601,Introducción a la Inteligencia Artificial: Principales Algoritmos,e,0
602,Digital Security and Human Rights,e,11443
603,Critical thinking: reasoned decision making,e,6923
604,Introduction to the Internet of Things,e,7581
605,Trading - Fundamentals of Technical Analysis,e,0
606,Riñones: conoce sus funciones para mejorar tu salud y calidad de vida,e,20261
607,Design Thinking: Empathizing to Understand the Problem,e,13340
608,Storytelling in the Workplace,e,0
609,Marketing Analytics: Price and Promotion Analytics,e,41021
610,Implementation of Data Structures,e,27761
611,Activism and Citizen Journalism through Media,e,7460
612,Electric and Conventional Vehicles,e,22089
613,Big Data Fundamentals,e,40106
614,Sustainable Food Security: The value of systems thinking,e,26600
615,Knowledge Management and Big Data in Business,e,69064
616,Uso efectivo del tiempo,e,6409
617,C Programming: Pointers and Memory Management,e,19171
618,Astrophysics: The Violent Universe,e,65711
619,Landscape Ecology,e,8644
620,IoT Programming and Big Data,e,21591
621,AWS: Getting Started with Cloud Security,e,8192
622,Introducción a la gravedad cuántica de lazos,e,7360
623,Introduction to the Music Business,e,46607
624,Introducción a la programación en C: Tipos de datos y estructuras,e,13480
625,Visualización de Datos y Storytelling,e,5980
626,Negociación exitosa: Estrategias y habilidades esenciales (en español),e,0
627,"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",e,10488
628,Macroeconomics - The Basics,e,0
629,Fundamentals of Financial Mathematics and Capital Budgeting,e,5410
630,Gestión participativa: motivación y liderazgo organizacional,e,23441
631,Herramientas de ciencia de datos: uso práctico,e,0
632,Bienestar para el desarrollo personal y profesional,e,0
633,Energía eléctrica: conceptos y principios básicos,e,9762
634,Market Segmentation Analysis,e,17055
635,Pensamento crítico: tomada de decisões fundamentadas,e,0
636,AP® English Literature & Composition – Part 2: Poems,e,5719
637,"Electrical, Optical & Magnetic Materials and Devices",e,16905
638,Advanced Cardiac Imaging: Cardiac Computed Tomography (CT),e,0
639,How to Design a Successful Business Model,e,33656
640,Ecodesign for Cities and Suburbs,e,28472
641,Agile Software Development,e,37158
642,Diseño de sistemas de información gerencial para intranet con Microsoft Access,e,9144
643,Essentials of Program Strategy and Evaluation,e,0
644,Gestão de Projetos de Desenvolvimento,e,28337
645,Innovation: From Plan to Product,e,12918
646,Introduction to Database Queries,e,0
647,Climate Change: Carbon Capture and Storage,e,10551
648,Reservoir Geomechanics,e,5280
649,Fundamentos de administración estratégica,e,0
650,IoT System Architecture: Design and Evaluation,e,5914
651,Noongar Language and Culture,e,10858
652,Sorting Truth From Fiction: Civic Online Reasoning,e,0
653,Sustainable Food Security: Food Access,e,18943
654,Bases Matemáticas: Integrales,e,23703
655,Epidemics II,e,8565
656,Derechos humanos: Los derechos de las personas refugiadas,e,28398
657,Sign Language Science: Factors Contributing to Natural Learning,e,0
658,Big Data Analytics,e,43009
659,"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods",e,6594
660,ODS en la Agenda 2030 de las Naciones Unidas: Retos de los Objetivos de Desarrollo Sostenible,e,16028
661,Achieving Product-Market Fit,e,0
662,Culture and Law: The East Asian Perspective,e,0
663,Fundamentals of Market Structure,e,32049
664,Protecting Children in Humanitarian Settings,e,7246
665,How to Achieve the Sustainable Development Goals,e,12719
666,Aprendizaje y Enseñanza en la Era Digital,e,16954
667,From Atoms to Stars: How Physics Explains Our World,e,15914
668,The Threat of Nuclear Terrorism,e,0
669,Introducción a Matemáticas para Finanzas y Negocios,e,0
670,Ingeniería de aeropuertos: diseño del lado aire según OACI (ICAO),e,0
671,Liderazgo inclusivo,e,0
672,مساق اللّغة العربيّة,e,0
673,"Architecture, Algorithms, and Protocols of a Quantum Computer and Quantum Internet",e,8330
674,Contemporary Issues in World Politics,e,11426
675,More Fun with Prime Numbers,e,10604
676,Enterprise Selling,e,5020
677,Climate Change: Financial Risks and Opportunities,e,9977
678,Caer o No caer. El Secreto de las Estructuras.,e,20939
679,Mandarin Chinese Level 2,e,8784
680,Design Thinking: Prototyping and User Testing,e,10769
681,Bases Matemáticas: Derivadas,e,24301
682,Buscar en Internet,e,27320
683,Big Data and Education,e,14909
684,Model-Based Automotive Systems Engineering,e,13857
685,Introduction to Hyperledger Blockchain Technologies,e,138884
686,MathTrackX: Integral Calculus,e,0
687,Solar Energy Engineering: Comprehensive Exams,e,0
688,Mercados de capital y participantes claves,e,7210
689,Introducción al desarrollo de videojuegos con Unity,e,27474
690,Incorporating Renewable Energy in Electricity Grids,e,10430
691,Herramientas de la Inteligencia de Negocios,e,24130
692,Overview & Management of Parkinson’s Disease,e,0
693,Conociendo los costos,e,0
694,Sprint Planning for Faster Agile Team Delivery,e,10654
695,Introduction to Water and Climate,e,36320
696,The Medieval Icelandic Sagas,e,11176
697,Visual Presentation,e,0
698,Community Engagement: Collaborating for Change,e,11818
699,Introducción al Internet de las Cosas (IoT),e,6322
700,"Proteins: Alignment, Analysis and Structure",e,23560
701,AI Applications with Watson,e,9173
702,Data Analytics and Visualization in Health Care,e,7304
703,Question Everything: Scientific Thinking in Real Life,e,34279
704,Introduction to Lifestyle Medicine,e,9002
705,"Social Work Practice with Individuals, Families, and Small Groups",e,16134
706,Gateway to Medicine: An Introduction to the Field of Medicine|走近医学,e,6938
707,Indian & Tibetan River of Buddhism,e,6738
708,Compostaje Orgánico en Casa,e,0
709,Financial Analysis for Decision Making,e,39156
710,Lifestyle Medicine Treatments of Chronic Disease – Part 1,e,5668
711,Building Containerized Applications on AWS,e,6128
712,Effective Communication for Program and Project Stakeholders and Teams,e,0
713,Biobased Products for a Sustainable (Bio)economy,e,6951
714,Social Work Practice: Advocating Social Justice and Change,e,19603
715,Anthropology of Current World Issues,e,44821
716,Buyer Behaviour and Analysis,e,19717
717,Idea Development: Create and Implement Innovative Ideas,e,11501
718,Analysis of Transport Phenomena I: Mathematical Methods,e,9169
719,Leading the Organization,e,14998
720,"Financial Programming and Policies, Part 2: Program Design",e,19330
721,Introduction to Open Source Networking Technologies,e,17436
722,Deep Learning Essentials,e,5018
723,Estadística Aplicada a los Negocios,e,25295
724,"English for Journalists, Part 2",e,22814
725,Teaching & Learning in the Diverse Classroom,e,7104
726,Fundamentals of Microeconomics | Fundamentos de Microeconomía,e,18456
727,Migrating to the AWS Cloud,e,0
728,IoT Networks and Protocols,e,22136
729,"American Prophet: The Inner Life and Global Vision of Martin Luther King, Jr.",e,0
730,China’s First Empires and the Rise of Buddhism,e,46053
731,Apnea y Trastornos del Sueño,e,14902
732,Educación sobre el cambio climático,e,23253
733,Quantum Mechanics: A First Course,e,0
734,Urban Sewage Treatment,e,40408
735,Doing Gender and Why it Matters,e,6826
736,Producción musical y su efecto en la composición,e,7869
737,"Principle of Semiconductor Devices Part I: Semiconductors, PN Junctions and Bipolar Junction Transistors",e,12425
738,"19th-Century Opera: Meyerbeer, Wagner, & Verdi",e,9340
739,Modelos predictivos con Machine Learning,e,5102
740,Quantitative Marketing Research,e,0
741,Les fondements de la stratégie d’entreprise,e,33021
742,Solar Energy: Integration of Photovoltaic Systems in Microgrids,e,20068
743,"Automated Software Testing: Unit Testing, Coverage Criteria and Design for Testability",e,12630
744,Probability and Statistics I:  A Gentle Introduction to Probability,e,0
745,Introducción a las ecuaciones diferenciales,e,9868
746,Agile Mindset Introduction,e,0
747,Tropical coastal ecosystems,e,23031
748,Modern China’s Foundations: The Manchus and the Qing,e,47166
749,El método de ciencia de datos,e,0
750,AWS Developer: Deploying on AWS,e,25244
751,Autonomous Mobile Robots,e,62362
752,Gestión por resultados para gobiernos subnacionales,e,65955
753,Introduction to Sociology,e,10412
754,Transformación digital en las empresas,e,0
755,Desafios e oportunidades na economia digital,e,6913
756,"Cellular Solids Part 1: Structures, Properties and Engineering Applications",e,7186
757,Introduction to Statistical Methods for Gene Mapping,e,15419
758,Cómo vivir una vida saludable y activa,e,8990
759,Mandarin Chinese Level 3,e,8418
760,Databases: Advanced Topics in SQL,e,0
761,Data for Effective Policy Making,e,13797
762,C Programming: Using Linux Tools and Libraries,e,13912
763,Lernen objekt-orientierter Programmierung,e,10657
764,Cybersecurity: The CISO's View,e,21507
765,Fundamentals of Java EE Development,e,10129
766,"Instructional Design: Digital Media, New Tools and Technology",e,16419
767,Molecular Biology – Part 3: RNA Processing and Translation,e,16520
768,Power and Responsibility: Doing Philosophy with Superheroes,e,8517
769,Aprendizaje automático y ciencia de datos,e,13994
770,Sustainable Urban Freight Transport: A Global Perspective,e,7769
771,MathTrackX: Statistics,e,0
772,Técnicas Cuantitativas y Cualitativas para la Investigación,e,29885
773,Strategic Applications of IT Project & Program Management,e,17914
774,Advanced Bioconductor,e,26063
775,What Every Provider Should Know: Clinical Fundamentals,e,0
776,Análisis e interpretación de información económica y financiera,e,5891
777,AWS IoT: Developing and Deploying an Internet of Things,e,8884
778,Measuring Sustainable Development,e,0
779,Embedded Systems - Shape The World: Multi-Threaded Interfacing,e,27814
780,Hong Kong Cinema through a Global Lens | 全球化下的香港电影,e,12458
781,Image Processing and Analysis for Life Scientists,e,8621
782,La protección del menor,e,7654
783,Globalization: Past and Future,e,10127
784,Star Trek: Inspiring Culture and Technology,e,6521
785,Qué funciona en educación: políticas educativas basadas en evidencia,e,15701
786,"Introduction to Cloud Development with HTML5, CSS3, and JavaScript",e,0
787,Tools for Academic Engagement in Public Policy,e,5035
788,Theory of Change for Development,e,10736
789,Monozukuri: Making Things,e,0
790,Drug Discovery & Medicinal Chemistry,e,0
791,Digital Biomaterials,e,0
792,Natural Resources for Sustainable Development,e,9668
793,Omnichannel Strategy and Management,e,15860
794,General Overview of Cannabis and the Industry’s Outlook and Professions,e,5048
795,Amazon SageMaker: Simplifying Machine Learning Application Development,e,11765
796,Formulación y nomenclatura de compuestos químicos,e,12748
797,Introducción a la factura electrónica,e,5829
798,Demand and Supply Analytics,e,23585
799,Advanced Algorithmics and Graph Theory with Python,e,13502
800,Modern Japanese Architecture Part 1: From Meiji Restoration to the Pacific War,e,0
801,Diagramas UML estructurales para la Ingeniería del Software,e,5820
802,"A-level Mathematics for Year 12 - Course 2: Calculus, Newton’s Laws and Hypothesis Testing",e,6232
803,Fundamentos de Mecánica para Ingeniería,e,14219
804,Leadership and Management for PM Practitioners in IT,e,21949
805,Entrepreneurship 103: Show Me The Money,e,15184
806,Historia de la ética,e,9383
807,Drainage in Agriculture: controlling water and salt levels in the soil,e,0
808,Radio para internet con Podcast: creación y conceptos básicos,e,6460
809,Introducción a los circuitos eléctricos,e,11953
810,AP® Physics 1: Challenging Concepts,e,12145
811,Introduction to Java Programming – Part 2,e,71203
812,AP® Macroeconomics,e,29433
813,Climate Change Education,e,12056
814,"Introducción al griego clásico: verbos, oraciones y filosofía",e,0
815,Applied Deep Learning Capstone Project,e,8429
816,FinTech Ethics and Risks,e,10696
817,User Experience (UX) Design: Human Factors and Culture in Design | 设计的人因与文化,e,23828
818,The Conquest of Space: Space Exploration and Rocket Science,e,19926
819,Business Strategy and Operations in a Biobased Economy,e,0
820,What Works in Education: Evidence-Based Education Policies,e,5540
821,Electric Cars: Business,e,14199
822,Thermodynamics of Materials,e,0
823,Mechanics: Momentum and Energy,e,14846
824,Co-Creating Sustainable Cities,e,12415
825,Cómo educar teniendo en cuenta la muerte,e,0
826,Introduction to Animal Ethics,e,6608
827,Teamwork & Collaboration,e,0
828,Grant Writing and Crowdfunding for Public Libraries,e,12853
829,Leading Ambitious Teaching and Learning,e,24273
830,Financing Innovative Ventures,e,0
831,"A-level Mathematics for Year 13 - Course 2: General Motion, Moments and Equilibrium, The Normal Distribution, Vectors, Differentiation Methods, Integration Methods and Differential Equations",e,0
832,Theories of Media and Technology,e,0
833,Introducción a la Estructura de la Materia,e,11859
834,"Batteries, Fuel Cells, and their Role in Modern Society",e,11865
835,Communication Skills for Dialoguing Across Difference,e,60943
836,Social Media: How Media Got Social,e,13616
837,"Portfolio Management, Governance, & the PMO",e,17299
838,edX101: Overview of Creating an edX Course,e,22327
839,"Soy docente, ¡qué miedo! Gestiona eficazmente tus emociones",e,0
840,Data Analysis for Decision Making,e,8342
841,UML Class Diagrams for Software Engineering,e,33710
842,Driving Digital Innovation through Experimentation,e,16904
843,Compilation Basics for Macroeconomic Statistics,e,6570
844,Seguridad Vial en América Latina y el Caribe: de la teoría a la acción,e,20189
845,From Fossil Resources to Biomass: A Chemistry Perspective,e,5464
846,System Dynamics for Health Sciences,e,15157
847,Internet de las cosas (IoT) y Big Data,e,0
848,Introducción a Ciencias de Datos y Estadística Básica para Negocios,e,0
849,Introduction to Psychological Research Methods,e,17087
850,Sustainable Packaging in a Circular Economy,e,6277
851,Design in Healthcare: Using Patient Journey Mapping,e,17946
852,"El manejo de plagas, malezas y enfermedades en los Sistemas de Siembra Directa",e,0
853,"Electronic, Optical, and Magnetic Properties of Materials",e,9717
854,La España del Quijote,e,13277
855,Risk Management for Projects,e,22269
856,Smithsonian’s Objects That Define America,e,9071
857,Creating Modern China: The Republican Period to the Present,e,43045
858,Discover Political Science,e,6573
859,Data Science: Inferential Thinking through Simulations,e,17505
860,Programming for Data Science,e,41268
861,Public Sector Debt Statistics,e,0
862,Sensor Fusion and Non-linear Filtering for Automotive Systems,e,9709
863,Creación musical con Soundcool: Introducción,e,0
864,First Nights - Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,e,8222
865,The Quantum Internet and Quantum Computers: How Will They Change the World?,e,15014
866,Research Methods: An Engineering Approach,e,20444
867,Idealismo filosófico y cosmovisiones: cómo hacer mundos con ideas,e,15349
868,Rise to Leadership: Become a CEO,e,16719
869,Building a Cybersecurity Toolkit,e,23275
870,Marketing your Android apps,e,0
871,Embedded Systems Essentials with Arm: Getting Started,e,0
872,Life with Diabetes,e,12318
873,Human Reproduction,e,5517
874,Enabling Technologies for Data Science and Analytics: The Internet of Things,e,71290
875,Astrophysics: Exploring Exoplanets,e,48539
876,Unconventional Reservoir Geomechanics,e,0
877,Strategic Account Management,e,0
878,PyTorch Basics for Machine Learning,e,0
879,Diseño y Desarrollo de Recursos Multimedia para la Enseñanza Virtual,e,14266
880,Introduction to Cloud Foundry and Cloud Native Software Architecture,e,24444
881,Gestión de compras eficientes para tu empresa,e,0
882,Know HBV And HCV,e,0
883,The Supreme Court & American Politics,e,6216
884,Sales Enablement & Analytics,e,0
885,Inversión Extranjera como Motor del Desarrollo para América Latina y el Caribe,e,16423
886,Liderazgo en la empresa familiar,e,10969
887,Comparative Political Systems,e,6934
888,Introducción al Derecho en la vida cotidiana,e,0
889,Cloud Computing for Enterprises,e,27241
890,Diversity and Social Justice in Social Work,e,11055
891,Public Library Marketing and Public Relations,e,7525
892,"Healthcare Finance, Economics and Risk",e,8006
893,Reacciones Químicas y Cálculos Estequiométricos,e,8907
894,Seeking Women’s Rights: Colonial Period to the Civil War,e,5157
895,VideoX: Creating Video for the edX Platform,e,12159
896,Comisión de la Verdad Colombia,e,0
897,MathTrackX: Probability,e,0
898,Health Informatics for better and safer healthcare,e,0
899,Sign Language Science: Factors Contributing to Natural Change,e,0
900,Accounting System Structure and Information Management,e,0
901,Sustainable Development: The Post-Capitalist Order,e,7031
902,"Health Law, Policy, and Advocacy",e,6358
903,Introduction to Haptics,e,0
904,Gestión de inventario y portafolio,e,0
905,Understanding Nuclear Energy,e,16015
906,Cómo Convertirse en un Líder Exitoso (Entrenamiento de Liderazgo Inclusivo),e,11431
907,Decision Making Under Uncertainty: Introduction to Structured Expert Judgment,e,0
908,AP® Calculus BC,e,8542
909,Advanced Linear Algebra: Foundations to Frontiers,e,0
910,Entrepreneurial Opportunities,e,27182
911,Agua en América Latina: Abundancia en medio de la escasez mundial,e,38581
912,Understanding Political Concepts,e,7421
913,How to Code: Complex Data,e,34190
914,Hypersonics – from Shock Waves to Scramjets,e,19043
915,Micro and Nanofabrication (MEMS),e,16094
916,Scientific Methods and Research,e,7501
917,Customer Centric Marketing for Entrepreneurs,e,14003
918,Dog Behavior: Problems and Solutions,e,16467
919,The Business of Mining,e,20406
920,"Social Work Practice in Community Organization, Management and Policy/Evaluation",e,9522
921,The Business of Aging in the Longevity Economy,e,0
922,Understanding the Australian Health Care System,e,8343
923,Age of Sustainable Development,e,10019
924,Internationalization: Creating Digital Content for the World,e,0
925,Multi-Object Tracking for Automotive Systems,e,8581
926,Economics and Policies in a Biobased Economy,e,0
927,Strategic Leadership in Healthcare,e,6237
928,Terrorism and Counterterrorism: An Introduction,e,14128
929,Exploring Psychology's Core Concepts|走进心理学,e,5741
930,Creating Virtual Reality (VR) Apps,e,22349
931,Análisis Multivariable en SPSS,e,0
932,Steps in Japanese for Beginners2 Part1,e,0
933,"Competencias para buscar, mantener y promocionar en un empleo",e,0
934,Dynamics and Control,e,27763
935,Finding Your Cybersecurity Career Path,e,19283
936,Introducción a la caligrafía y paleografía en archivos hispanos medievales y modernos,e,12674
937,Mechanics: Rotational Dynamics,e,13183
938,Applying Health Coaching in Patient Care,e,0
939,Databases: Modeling and Theory,e,0
940,"Islamic Banking: Principles, Practice and Risk Management",e,0
941,Liderazgo orientado al florecimiento humano,e,7911
942,Software Construction: Object-Oriented Design,e,23100
943,"Introduction to Hyperledger Sovereign Identity Blockchain Solutions: Indy, Aries & Ursa",e,0
944,Fondements de l’économie sociale et solidaire,e,0
945,The Civil War and Reconstruction - 1861 - 1865: A New Birth of Freedom,e,17941
946,Innovation Strategies for Electric Mobility: The StreetScooter Case,e,0
947,Sustainable Energy,e,0
948,Designing and Leading Learning Systems,e,11895
949,How the U.S. Government Works & How to Get Involved,e,5930
950,Inspiring and Motivating Arts and Culture Teams,e,10817
951,Principles of Microeconomics: An Economist Way of Thinking,e,0
952,A System View of Communications: From Signals to Packets (Part 1),e,34261
953,"Invasions, Rebellions, and the Fall of Imperial China",e,41537
954,AP® English Literature & Composition – Part 3: Plays,e,6443
955,Cómo implantar grupos de mejora de procesos,e,28100
956,Proteins: Biology's Workforce,e,25893
957,Introducción a los ritmos y relojes biológicos,e,6149
958,Linear Algebra I: Linear Equations,e,0
959,"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications",e,10205
960,Fundamentos de Electromagnetismo para Ingeniería,e,15040
961,Sustainable Food Systems: A Mediterranean Perspective,e,6480
962,Scripting and Programming Foundations,e,0
963,Using GPUs to Scale and Speed-up Deep Learning,e,9294
964,StudioX: Creating a Course with edX Studio,e,20355
965,The Power of Data,e,0
966,Introducción a las ondas gravitacionales,e,8657
967,Drones and Autonomous Systems 2: Applications in Emergency Management,e,0
968,MathTrackX: Differential Calculus,e,0
969,Global China: From the Mongols to the Ming,e,41902
970,Leaders in Citizen Security and Justice Management for the Caribbean,e,0
971,Pattern Studying and Making | 图案审美与创作,e,0
972,Computational Neuroscience: Neuronal Dynamics of Cognition,e,11246
973,Cities and the Challenge of Sustainable Development,e,8775
974,MathTrackX: Special Functions,e,0
1070968,Ultimate Investment Banking Course,u,2147
1113822,Complete GST Course & Certification - Grow Your CA Practice,u,2792
1006314,Financial Modeling for Business Analysts and Consultants,u,2174
1210588,Beginner to Pro - Financial Analysis in Excel 2017,u,2451
1011058,How To Maximize Your Profits Trading Options,u,1276
192870,Trading Penny Stocks: A Guide for All Levels In 2017,u,9221
739964,Investing And Trading For Beginners: Mastering Price Charts,u,1540
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",u,2917
476268,Options Trading 3 : Advanced Stock Profit and Success Method,u,5172
1167710,The Only Investment Strategy You Need For Your Retirement,u,827
592338,Forex Trading Secrets of the Pros With Amazon's AWS,u,4284
975046,Trading Options With Money Flow,u,1380
742602,Financial Management Risk and Return For Securities,u,3607
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,u,4061
1196544,Python Algo Trading: Sentiment Trading with News,u,294
504036,Short Selling: Learn To Sell Stocks Before The Fall,u,2276
719698,Basic Technical Analysis: Learn the structure of the market,u,4919
564966,The Complete Chart Pattern Trading Course: A Proven Approach,u,2666
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,u,5354
58977,Financial Statements Made Easy,u,8095
1242604,Winning Forex Trading with Live Forex Trading Examples,u,809
798740,Forex Traders - Create Your First Trading Robot. No Coding!,u,2295
506568,Create A Business From Home Trading Stocks Today In 2017,u,10149
1020760,Introduction to Accounting : Mastering Financial Statements,u,1916
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,u,2507
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,u,5786
353044,Investing 101: The Complete Online Investing Course,u,5334
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,u,4005
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),u,2877
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,u,1026
1170894,Python Algo Stock Trading: Automate Your Trading!,u,1165
948974,THE Forex Robot: Incredible ROI (Robot Included),u,1843
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,u,8797
1217778,Mastering High Probability Iron Condor Options Trading,u,1030
1246208,The Complete Short Course on Ethereum,u,1041
434774,Options Trading Stocks: Proven Toolbox For Financial Success,u,7884
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,u,16900
888716,"Introduction to Finance, Accounting, Modeling and Valuation",u,11441
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,u,22257
965832,The Complete Investment Banking Course 2017,u,8575
648826,The Complete Financial Analyst Course 2017,u,24481
1035472,Python for Finance: Investment Fundamentals & Data Analytics,u,3811
1154754,Financial Modeling for Startups & Small Businesses,u,4991
627540,Options Trading - How to Win with Weekly Options,u,7489
301442,Black Algo Trading: Build Your Trading Robot,u,20195
640100,Accounting & Financial Statement Analysis: Complete Training,u,10042
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,u,367
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,u,10603
1214702,Three Steps Trading - Live Trading - Real Account,u,1197
848664,Option Trading for Rookies:  Understand Options Completely,u,2893
1142570,How I Learned Stock Trading (and How You Can Too),u,1580
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,u,10605
411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,u,2996
885974,Four Fundamentals of Financial Planning,u,6219
1151092,Options Trading - Calendar Spread Course for Every Trader,u,1113
358326,Dividend Investing: Build Your Portfolio for a Better Future,u,8314
153210,Learn Accounting. Understand Business.,u,5572
834836,How to Consistently Win Trading Stocks in 30 Days or Less,u,1433
1171994,A Beginner's Guide to Quantopian Futures API,u,936
1239068,How to Buy Cheap Options - Options Trading Pricing Model,u,658
985922,Excel Crash Course: Master Excel for Financial Analysis,u,8121
765562,"Comprehensive Guide to Financial Markets, Investing &Trading",u,4187
165964,Stock Trading Ninja: Complete System For Trading Success,u,9445
855172,Hedge and Mutual Fund Careers: The Complete Guide,u,3255
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,u,7941
994754,The Power Modeling Bootcamp: Advanced Excel in 10 Days,u,1680
43319,Options Trading Basics (3-Course Bundle),u,10100
408440,How to Win 97% of Your Options Trades,u,5050
918688,How I Make Consistent Returns Trading Options,u,2310
308694,"Forex Strategies: Kelly Criterion, Larry Williams and more!",u,5528
199450,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",u,6451
401784,Options Trading Introduction: Day Trade Stock Options,u,12394
1122792,The Almost Perfect Options Trading Strategy System - Unique,u,1793
709500,Forex Trading -  Learn to Trade Forex Like the Banks,u,3223
285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,u,16385
1135126,The Most Powerful Options Spread Trading Front Ratio Spread,u,1487
834558,What Finance Job is for You? Explanation of 14 Finance Roles,u,2951
551968,The Blueprint for Successful Stock Trading,u,2697
1005658,Trading for Beginners - Intermediate Level,u,3979
746432,Start Trading Stocks Using Technical Analysis!,u,3190
1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,u,1406
284118,VPS for Forex Trading - Protect Your Forex Robots,u,4252
302562,Introduction to Accounting: The Language of Business,u,11958
596598,Basic Excel for Basic Bookkeeping and Accounting,u,7743
860890,"Using 'The Greeks To Understand Options""",u,2134
951050,Trading Options For Consistent Returns: Calendar Spreads,u,1214
796450,How to Create Your Personal Budget,u,3870
502772,The Complete Value Investing Course: A Proven Approach,u,2146
1102462,FOREX Trading with Price Action,u,484
1062092,Emini ES Futures - Advanced Non Directional Options Trading,u,1057
891484,Forex Trading - Advanced Fundamental Analysis,u,1754
1217064,How To Invest With Tiny Capital In Stocks ?,u,1239
382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,u,2493
308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,u,2602
474928,Intermediate Options trading concepts for Stocks and Options,u,2000
1148774,Options Trading 101: The Basics,u,1514
959144,Practical Accounts APP Overview,u,1361
1233350,Bitcoin Profits for Beginners,u,61
572744,Trend Traders Club: How To Find And Trade Fast Moving Trends,u,1513
724062,Financial Statements Basics,u,1374
474212,High performance Stock Trading using key Options techniques,u,2103
771276,Introduction to Financial Statement Analysis,u,1480
388164,Basics of Economics (College Level),u,2516
133536,Stock Market Investing for Beginners,u,50855
655300,Accounting for Beginners : Learn Basics in under 1 Hour,u,1971
949504,Straddle Options Trading - Profit in Any Market Direction,u,837
265960,Fundamentals of Forex Trading,u,17160
680044,"Binary Options: Trading Strategies, 90% Accuracy and Signals",u,1723
923616,Website Investing 101 - Buying & Selling Online Businesses,u,6811
741898,Practical Accounts & Bookkeeping Automated Overview ,u,2060
381330,Live Account - ETF Trading System - Hacking The Stock Market,u,2318
545918,Stock Market Leverage: How to Start Trading Options Wisely,u,2153
191854,Stock Market Foundations,u,19339
471546,Crash Course on Working Capital Management,u,3177
866584,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,u,1535
889824,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,u,1027
1191504,How to create a routine Trading,u,307
585752,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",u,2096
671578,Forex SOS Course: Trading Tweaks And Working Forex Strategy,u,1315
151668,Introduction to Financial Modeling,u,29167
1105344,Quantitative Aptitude for Banking & Competitive Examinations,u,1056
44836,Option Spreads and Credit Spreads Bundle,u,2212
840300,B Com Accountancy I (Paper ECO 02 IGNOU),u,2946
1100054,FOREX TRADING - Learn in a quick + profitable way + support,u,271
421054,Auditing Basics (Professional Course Level),u,3771
528784,Stock market Investing Encyclopedia: How to invest in stocks,u,3143
637430,Learn the basics of preparing accounting statements,u,1951
236080,Elliott Wave -Forex Trading With The Elliott Wave Theory,u,4022
777444,Corporate Finance - A Brief Introduction,u,11724
474238,Excel functions to analyze and visualize data,u,2283
1245244,Building Financial Statements in Excel,u,1181
1051570,Transfer Pricing A Complete Analysis,u,1852
262370,Accounting: Get Hired Without Work Experience,u,4661
1188178,Forex Trading for Beginners - Basics,u,989
824592,Basic Bookkeeping Hacks,u,5841
1147458,Complete Trading Plan Course for Stocks & Forex (10 Hours),u,1087
1243448,"Forex Trading with Fixed 'Risk through Options Trading""",u,611
730414,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",u,1922
252396,How to Pick The Right Penny Stocks To Invest In 2017,u,9015
1198166,Top 10 Trading Ideas in the Equities Market,u,661
920604,Intro to Financial Modeling,u,1077
215728,Shark Accounting - Building a Business by the Numbers!,u,6050
722174,Forex Trading MAKE YOUR FIRST TRADE TODAY!,u,3523
48841,Accounting in 60 Minutes - A Brief Introduction,u,56659
